ROUNDINFO_ID,FIGHT_ID,FIGHT_ROUND,FIGHTER_ID,KD,SIG_STR_MADE,SIG_STR_ATTEMPTED,SIG_STR_PERCENT,TOTAL_STR_MADE,TOTAL_STR_ATTEMPTED,TD_MADE,TD_ATTEMPTED,TD_PERCENT,SUB_ATT,PASS,REV,HEAD_ATTEMPTED,HEAD_MADE,BODY_ATTEMPTED,BODY_MADE,LEG_ATTEMPTED,LEG_MADE,DISTANCE_ATTEMPTED,DISTANCE_MADE,CLINCH_ATTEMPTED,CLINCH_MADE,GROUND_ATTEMPTED,W/L,,
3066,1,2386,1,19,26,73,20,27,0,0,0,0,0,0,25,19,1,0,0,0,7,3,3,3,16,13,1,,
3711,1,2386,0,6,7,85,39,40,0,0,0,0,0,0,6,6,1,0,0,0,2,1,0,0,5,5,0,,
3711,2,2386,0,5,13,38,7,17,0,0,0,0,0,0,10,3,3,2,0,0,11,3,1,1,1,1,0,,
3711,3,2386,0,34,52,65,44,62,0,0,0,0,0,0,39,22,13,12,0,0,43,25,9,9,0,0,0,,
3711,4,2386,0,6,9,66,6,9,0,0,0,0,0,0,5,3,2,2,2,1,9,6,0,0,0,0,0,,
4610,1,2386,2,18,57,31,20,60,0,0,0,0,0,0,51,15,6,3,0,0,45,13,2,1,10,4,1,,
4610,2,2386,1,14,27,51,20,33,0,0,0,0,0,0,20,9,5,4,2,1,22,11,3,2,2,1,1,,
4712,1,2386,1,34,58,58,34,58,0,0,0,0,0,0,35,14,4,3,19,17,58,34,0,0,0,0,1,,
4712,2,2386,2,34,70,48,36,73,0,0,0,0,0,0,54,19,5,5,11,10,67,31,3,3,0,0,1,,
4712,3,2386,0,26,45,57,37,58,0,0,0,0,0,0,35,17,4,4,6,5,41,22,4,4,0,0,1,,
4712,4,2386,0,46,76,60,56,86,0,0,0,0,0,0,59,30,12,11,5,5,58,33,17,13,1,0,1,,
4712,5,2386,0,24,37,64,34,47,0,1,0,0,0,0,29,18,4,3,4,3,29,17,8,7,0,0,1,,
4916,1,2386,0,28,74,37,32,78,0,0,0,0,0,1,58,18,6,4,10,6,71,26,0,0,3,2,0,,
4916,2,2386,0,33,66,50,34,67,0,1,0,0,0,0,59,29,5,3,2,1,62,30,4,3,0,0,0,,
5016,1,2386,1,5,6,83,5,6,0,0,0,0,0,0,4,4,1,0,1,1,4,3,0,0,2,2,1,,
5266,1,3186,0,9,21,42,13,25,0,4,0,0,0,0,8,0,3,0,10,9,21,9,0,0,0,0,1,,
5266,2,3186,0,5,6,83,19,25,4,7,57,0,3,0,1,1,0,0,5,4,3,3,3,2,0,0,1,,
5266,3,3186,0,3,14,21,13,25,0,6,0,0,0,0,8,0,1,0,5,3,11,3,3,0,0,0,1,,
5448,1,2386,0,43,87,49,43,87,0,0,0,0,0,0,68,29,15,11,4,3,73,33,14,10,0,0,1,,
5448,2,2386,1,21,32,65,22,33,0,0,0,0,1,0,31,20,1,1,0,0,23,14,0,0,9,7,1,,
5593,1,2386,1,9,29,31,9,29,0,0,0,0,0,0,25,8,4,1,0,0,25,5,0,0,4,4,1,,
5685,1,2386,1,18,49,36,37,68,1,1,100,0,1,0,44,15,5,3,0,0,30,10,0,0,19,8,1,,
6129,1,2386,0,27,87,31,28,88,0,1,0,0,0,0,59,16,13,2,15,9,86,26,1,1,0,0,1,,
6129,2,2386,0,15,47,31,18,50,1,1,100,0,2,0,38,10,3,1,6,4,42,13,0,0,5,2,1,,
6129,3,2386,0,11,19,57,25,35,3,3,100,0,4,0,16,8,1,1,2,2,7,3,1,1,11,7,1,,
6261,1,2386,1,21,35,60,22,36,0,0,0,0,0,0,34,20,1,1,0,0,29,16,0,0,6,5,1,,
